,mz,rt,ccs,intensity
70,125.10704,71.57901519,110.9136943,
71,126.065789,244.4751867,109.7587994,
72,134.0599906,27.35188307,109.638698,
73,136.0139067,159.13182,109.6216062,
74,137.070732,336.8965952,110.1435996,
75,138.0546593,215.2253585,111.3828622,
76,139.0498809,150.3058926,110.9593945,
77,142.0860539,168.8324517,108.3913067,
78,144.1017841,265.7734059,106.9636525,
79,146.0809788,299.1039627,110.392984,
80,146.1175306,383.3866481,109.2089833,
81,151.0611808,146.3245945,106.3259059,
82,151.0611343,101.776882,109.9819792,
83,162.1123453,347.2226814,106.4618819,
84,169.0353994,316.1202042,106.3742538,
85,170.0921387,421.9319748,108.8987013,
86,179.0044606,274.3958536,107.3504122,
87,182.0960114,159.6925762,107.9249363,
88,92.04924716,279.4586377,116.229277,
89,96.04396364,26.71211177,115.7870034,
90,107.072597,174.6053234,114.1897605,
91,108.080416,194.1561121,115.5359199,
92,116.0578766,171.858058,114.7158341,
93,124.086761,438.1685864,112.3153381,
94,124.0865992,404.384022,112.195542,
95,126.0909573,67.17131965,111.5526089,
96,130.064912,77.45952473,110.7650805,
97,132.0804744,172.0822082,109.8999648,
98,132.0805719,78.29275655,112.4024449,
99,137.0708133,305.4123684,112.6374961,
100,141.0657474,295.4600837,111.0633635,
101,144.1016792,341.0968405,113.1157611,
102,154.1225953,229.9204453,107.3388151,
103,158.1175302,257.7884125,109.9498374,
104,166.0723566,179.4285768,109.0848669,
105,167.0565143,122.9608393,109.6230129,
106,170.0922041,434.2802196,110.0665305,
107,171.076293,284.4604655,109.3214421,
108,171.0873959,120.6837443,109.3209431,
109,174.1235607,305.3182832,107.9034436,
110,203.1500204,487.6623178,108.3314717,
111,229.1546627,353.4252584,108.0426631,
112,106.0647362,78.02198807,117.0986732,
113,106.0647784,27.81612435,116.4910125,
114,109.0756904,434.4599614,116.2758674,
115,110.0597364,266.1382334,116.2906919,
116,110.0597376,75.98873706,116.4117515,
117,117.0570122,76.98480964,115.2224703,
118,121.0644654,153.3333137,114.6137545,
119,122.0961031,174.3749955,112.7237502,
120,126.065792,244.3066034,113.9467027,
121,135.0437172,189.4624525,110.9974737,
122,137.0454957,125.1514436,113.1139957,
123,137.0596787,140.2366978,114.0619814,
124,137.0706517,337.3312635,115.4844246,
125,143.1176433,355.7842704,112.4695973,
126,146.0923678,348.8803358,112.7540359,
127,147.0914117,178.5382696,113.1644458,
128,148.0390992,40.81467759,112.3990625,
129,150.0910881,230.6032799,113.5721136,
130,153.0404916,159.1741123,111.6359626,
131,153.0659064,75.98873706,111.9873861,
132,155.0811919,219.650507,112.4622904,
133,156.0639139,120.2111772,112.4081147,
134,160.1330858,376.7099089,111.9562164,
135,162.0755535,226.3985228,111.8563033,
136,170.0922392,425.9521165,111.117087,
137,176.1024541,354.2538948,109.8007198,
138,176.8749795,331.2984458,111.2810491,
139,177.1019718,47.87481829,112.6671277,
140,95.01227629,197.9814824,120.1111005,
141,108.0804727,224.8591998,115.4145677,
142,109.0757451,372.2685817,117.3663093,
143,110.0597093,27.1106992,118.3480347,
144,110.0710072,430.3899013,118.2257565,
145,112.0503978,191.4201558,117.0475963,
146,112.0502166,159.1254417,117.4100046,
147,115.0537487,225.0825602,114.8131077,
148,115.0539103,171.6114329,114.5719062,
149,115.0537787,46.29043346,114.571919,
150,115.053955,143.3544444,114.4513028,
151,121.0280181,145.9648624,117.2551817,
152,121.0281523,168.4305747,116.8955874,
153,121.0280752,346.629454,116.2961773,
154,123.0549412,378.6885671,116.3554708,
155,128.0815934,109.0222402,115.215697,
156,136.0614847,155.1997894,117.2172055,
157,137.0707313,220.1814358,114.5358197,
158,139.0499742,150.5314592,113.6865116,
159,140.0815408,105.0392653,115.5103268,
160,151.0614469,146.0790676,112.4555112,
161,154.0495093,90.38859869,113.4599384,
162,154.0610012,238.2611975,115.1034498,
163,162.1124255,347.1311303,111.8544291,
164,167.0565136,121.8553071,112.0776402,
165,169.03565,316.3481259,113.3835516,
166,170.0921977,469.7930886,114.0329373,
167,170.0923721,513.300737,114.4990625,
168,170.0919794,574.9783129,113.7998218,
