,mz,rt,ccs,intensity
194,174.9379623,575.6308898,119.6489037,
195,179.0566937,317.5433348,119.6922454,
196,179.0568274,282.2311743,120.1587143,
197,179.0567738,336.8604421,119.4588476,
198,180.0341111,134.9360755,119.6482778,
199,181.0375013,271.0291117,121.0023786,
200,182.0289857,213.126186,119.0936997,
201,232.9880423,485.7497928,115.5052902,
202,78.95971353,496.6957921,129.0425404,
203,78.95952268,546.3645249,128.6635552,
204,78.95953511,538.241253,128.9162417,
205,78.95968739,451.1146772,128.6635201,
206,93.03525338,221.0410383,126.4609059,
207,101.0056867,263.7723227,128.1204638,
208,109.0302328,232.8893735,127.2143591,
209,122.0002826,344.1478602,124.2618538,
210,125.0615911,193.5084074,125.5369354,
211,130.0671644,138.6854363,124.9746932,
212,133.0516803,267.4102625,123.652577,
213,134.0621649,130.9670646,124.2868033,
214,139.0072402,79.48662048,121.1692798,
215,150.056815,346.0970838,123.1368422,
216,151.0267188,158.7540338,122.6024592,
217,151.027037,185.414952,122.8385282,
218,152.0297049,159.0012972,122.6571698,
219,153.0199355,232.5922493,122.7133487,
220,155.0025117,218.6435531,123.534106,
221,158.9260136,454.9383038,119.8892139,
222,159.011516,263.7723227,122.8254152,
223,165.0427922,107.1338733,120.3775887,
224,176.9364359,521.9965754,119.3220082,
225,176.9363402,545.632146,119.2051925,
226,176.9365856,494.1851889,118.8546923,
227,176.9362222,467.6774786,118.9715434,
228,176.9361244,455.8614529,118.8547135,
229,176.9366496,576.3219545,118.8546894,
230,178.8850509,491.6428431,121.4496703,
231,178.8851192,529.6438601,121.799411,
232,178.8850684,569.3075838,121.5662603,
233,178.8851052,447.1820198,121.5662586,
234,178.8849776,513.0529236,121.3330829,
235,178.8848922,462.1014487,121.4496776,
236,194.0461767,346.0075923,120.6897406,
237,195.0517362,338.5242544,122.5046631,
238,195.0517491,367.2184816,119.0266161,
239,196.8952534,491.3024751,120.9271458,
240,196.896109,559.5645875,121.158804,
241,205.0358845,434.2565838,120.2811103,
242,246.0549058,54.8454298,119.1845617,
243,78.95961889,585.956986,133.3332995,
244,78.95960133,559.395607,133.0811532,
245,78.9596827,528.7238089,133.711449,
246,78.95960839,266.9645066,132.0722435,
247,94.98117684,641.1788201,131.464697,
248,96.96067738,43.51624912,130.052376,
249,108.0223602,81.68444136,129.7665106,
250,135.0457961,24.13002358,123.1362047,
251,136.9376848,19.12990505,122.6328477,
252,136.9373793,673.8992311,122.3947441,
253,138.0566741,42.66807964,126.7083522,
254,142.0669676,197.4886507,126.169483,
255,144.0462886,188.4551024,124.9614442,
256,144.0462117,136.4166924,124.7246551,
257,144.046134,66.30359932,124.9614551,
258,144.0461893,93.38519559,124.7246567,
259,145.0413209,195.3496599,125.009969,
260,146.0252895,189.9421727,125.2965139,
261,146.0259115,61.9161064,122.5752576,
262,149.0462719,305.8156304,125.3280638,
263,152.0027477,192.2792458,125.0172729,
264,152.0119553,225.9888327,124.6631108,
265,152.9964407,289.4812706,123.6579817,
266,153.0202015,79.62451066,124.9525918,
267,153.0197171,45.74625505,125.1881835,
268,155.0024825,44.00344725,124.0050506,
269,161.9872084,28.67504263,124.8854639,
270,165.0059361,344.3091446,120.966246,
271,168.9823331,49.3066568,123.9192957,
272,169.0151147,62.32223502,124.1514317,
273,174.9466658,538.4911782,123.1519695,
274,174.9472204,586.902782,123.3852797,
275,178.0515162,190.2900961,123.7027924,
276,179.0567173,319.0506929,123.8884585,
277,182.9379589,173.4168333,122.314879,
278,191.0203039,441.2103316,120.4618354,
279,194.0464179,157.4902694,123.4711496,
280,76.97058776,695.0532021,135.0481446,
281,76.97055644,647.4079767,134.9217282,
282,76.9706228,628.9653898,135.0481364,
283,76.97069936,672.1270332,134.795271,
284,82.03055709,28.95396268,133.8069585,
285,94.98127034,659.377483,131.2182983,
286,94.98126,685.1765701,131.0951005,
287,96.96077276,115.0342187,132.6329755,
288,109.0302772,224.902561,127.4573479,
289,109.0301804,45.82244064,129.2788669,
290,109.0302873,79.38050687,129.278854,
291,121.0302757,161.3164602,128.8031827,
292,134.0241766,149.0398177,127.7434611,
293,136.9375428,597.6565557,127.8646381,
